Unnamed: 0,Brand,Price,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,Battery_Life
1243,Acer,56990,Intel Core i5 (13th Gen),Intel, 32 GB Expandable,16 GB , DDR4 RAM , 4.7 Ghz Processor,LCD,15.6,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,no,Upto 6 Hrs Battery Life
1244,MSI,149990,Intel Core i7 (13th Gen),Intel, 16 GB Expandable,16 GB LP, LPDDR5 RAM , 4.8 Ghz Processor,LCD,16,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,1024 GB SSD Storage,No HDD,120,120W Adapter
1245,ASUS,76900,Intel Core i5 (13th Gen),Intel, 16 GB Expandable,16 GB , DDR4 RAM , 1.3 Ghz Processor,LCD,14,Integrated,Intel,512 GB SSD Storage,No HDD,45,45W Adapter
1246,Lenovo,69190,AMD Hexa-Core Ryzen 5,AMD,Not Expandable,16 GB LP, LPDDR4X RAM, 2.0 Ghz Processor,LCD,14,Radeon,AMD,512 GB SSD Storage,No HDD,65, Upto 10 Hrs Battery Life
1247,HP,27990,Intel Celeron Dual-Core,Intel, 8 GB Expandable,8 GB , DDR4 RAM , 2.8 Ghz Processor,LCD,14,UHD,Intel,512 GB SSD Storage,No HDD,65,65W Adapter
1248,HP,54999,Intel Core i5 (12th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 4.2 Ghz Processor,LCD,14,Iris Xe,Intel,512 GB SSD Storage,No HDD,no,
1249,Dell,85990,Intel Core i7 (11th Gen) Processor,Intel, 32 GB Expandable,16 GB , DDR4 RAM ,0,LCD,14,Integrated,Intel,512 GB SSD Storage,No HDD,no,Upto 4 Hrs Battery Life
1250,MSI,219990,Intel Core i7 (13th Gen),Intel, 64 GB Expandable,32 GB , DDR5 RAM , 4.8 Ghz Processor,LCD,16.1,"GeForce RTX 4060 GPU, 8 GB",NVIDIA,1024 GB SSD Storage,No HDD,no,Upto 6 Hrs Battery Life
1251,HP,49999,Intel Core i5 (11th Gen),Intel, 8 GB Expandable,8 GB , DDR4 RAM , 4.2 Ghz Processor,LCD,14,Iris Xe,Intel,512 GB SSD Storage,No HDD,65,65W Adapter
1252,Lenovo,44190,Intel Core i3 (13th Gen),Intel,Not Expandable,8 GB LP, LPDDR5 RAM, 3.3 Ghz Processor,LCD,15.6,UHD,Intel,512 GB SSD Storage,No HDD,65, Upto 8 Hrs Battery Life
